"01/2009","0"
"02/2009","0"
"03/2009","0"
"04/2009","0"
"05/2009","0"
"06/2009","1"
"07/2009","0"
"08/2009","1"
"09/2009","1"
"10/2009","0"
"11/2009","0"
"12/2009","1"
"01/2010","3"
"02/2010","2"
"03/2010","0"
"04/2010","2"
"05/2010","0"
"06/2010","0"
"07/2010","0"
"08/2010","1"
"09/2010","1"
"10/2010","1"
"11/2010","0"
"12/2010","0"
"01/2011","1"
"02/2011","0"
"03/2011","0"
"04/2011","0"
"05/2011","0"
"06/2011","3"
"07/2011","1"
"08/2011","0"
"09/2011","0"
"10/2011","3"
"11/2011","0"
"12/2011","3"
"01/2012","1"
"02/2012","0"
"03/2012","0"
"04/2012","0"
"05/2012","0"
"06/2012","0"
"07/2012","0"
"08/2012","0"
"09/2012","0"
"10/2012","1"
"11/2012","0"
"12/2012","0"
"01/2013","0"
"02/2013","0"
"03/2013","1"
"04/2013","0"
"05/2013","1"
"06/2013","1"
"07/2013","1"
"08/2013","0"
"09/2013","0"
"10/2013","0"
"11/2013","1"
"12/2013","1"
"01/2014","0"
"02/2014","0"
"03/2014","0"
"04/2014","0"
"05/2014","0"
"06/2014","0"
"07/2014","0"
"08/2014","0"
"09/2014","0"
"10/2014","0"
"11/2014","0"
"12/2014","0"
"01/2015","0"
"02/2015","0"
"03/2015","0"
"04/2015","0"
"05/2015","0"
"06/2015","1"
"07/2015","0"
"08/2015","0"
"09/2015","0"
"10/2015","0"
"11/2015","0"
"12/2015","0"
"01/2016","0"
"02/2016","0"
"03/2016","0"
"04/2016","1"
"05/2016","0"
"06/2016","0"
"07/2016","0"
"08/2016","0"
"09/2016","0"
"10/2016","1"
"11/2016","0"
"12/2016","0"
